"GENE_SYMBOL","GSM4673103--P5","GSM4673104--P5"
"ALG1",5,6
"ALG10",0,0
"ALG10B",0,1
"ALG11",1,2
"ALG12",18,13
"ALG13",4,8
"ALG14",4,10
"ALG1L",0,0
"ALG1L2",0,5
"ALG2",3,9
"ALG3",42,64
"ALG5",20,32
"ALG6",0,5
"ALG8",1,6
"ALG9",1,2
"ALK",0,0
"ALKBH1",3,2
"ALKBH2",21,16
"ALKBH3",7,7
"ALKBH4",2,2
"ALKBH5",20,18
"ALKBH6",3,7
"ALKBH7",8,22
"ALKBH8",0,1
"ALLC",0,0
"ALMS1",0,2
"ALOX12",374,377
"ALOX12B",27,52
"ALOX15",1,0
"ALOX15B",9,21
"ALOX5",4,3
"ALOX5AP",13,12
"ALOXE3",0,3
"ALPI",0,0
"ALPK1",6,8
"ALPK2",2,0
"ALPK3",6,9
"ALPL",7,1
"ALPP",0,0
"ALS2",1,4
"ALS2CL",72,93
"ALX1",0,0
"ALX3",0,0
"ALX4",0,0
"ALYREF",27,33
"AMACR",5,6
"AMBN",0,2
"AMBP",0,0
"AMBRA1",31,37
"AMD1",1239,1264
"AMDHD1",1,0
"AMDHD2",12,12
"AMELX",0,0
"AMELY",0,0
"AMER1",13,15
"AMER2",0,0
"AMER3",0,0
"AMFR",49,32
"AMH",0,2
"AMHR2",0,0
"AMIGO1",7,2
"AMIGO2",0,5
"AMIGO3",0,0
"AMMECR1",19,24
"AMMECR1L",14,10
"AMN",13,13
"AMN1",5,2
"AMOT",0,2
"AMOTL1",50,52
"AMOTL2",13,17
"AMPD1",0,0
"AMPD2",8,6
"AMPD3",26,26
"AMPH",1,0
"AMT",4,2
"AMTN",0,0
"AMY1A",0,0
"AMY1B",0,0
"AMY1C",0,0
"AMY2A",0,0
"AMY2B",0,0
"AMZ1",2,2
"AMZ2",17,13
"ANAPC1",2,2
"ANAPC10",2,3
"ANAPC11",54,119
"ANAPC13",22,25
"ANAPC15",8,25
"ANAPC16",135,187
"ANAPC2",25,19
"ANAPC4",4,3
"ANAPC5",36,42
"ANAPC7",38,86
"ANG",2,4
"ANGEL1",2,3
"ANGEL2",5,11
"ANGPT1",0,0
"ANGPT2",0,1
"ANGPT4",0,0
"ANGPTL1",0,0
"ANGPTL2",1,2
"ANGPTL3",0,0
"ANGPTL4",14,48
"ANGPTL5",0,0
"ANGPTL6",0,0
"ANGPTL7",0,0
"ANHX",0,0
"ANK1",2,0
"ANK2",1,0
"ANK3",29,47
"ANKAR",0,2
"ANKDD1A",0,1
"ANKDD1B",0,0
"ANKEF1",0,2
"ANKFN1",0,0
"ANKFY1",50,85
"ANKH",144,103
"ANKHD1",8,11
"ANKHD1-EIF4EBP3",5,3
"ANKIB1",39,23
"ANKK1",1,0
"ANKLE1",0,0
"ANKLE2",32,17
"ANKMY1",3,17
"ANKMY2",3,2
"ANKRA2",4,6
"ANKRD1",0,0
"ANKRD10",8,8
"ANKRD11",242,234
"ANKRD12",47,58
"ANKRD13A",11,19
"ANKRD13B",2,3
"ANKRD13C",2,7
"ANKRD13D",27,22
"ANKRD16",0,1
"ANKRD17",18,28
"ANKRD18A",2,1
"ANKRD18B",9,9
"ANKRD2",0,0
"ANKRD20A1",0,0
"ANKRD20A2",0,0
"ANKRD20A3",0,0
"ANKRD20A4",0,0
"ANKRD22",32,59
"ANKRD23",0,1
"ANKRD24",0,0
"ANKRD26",3,8
"ANKRD27",5,7
"ANKRD28",6,16
"ANKRD29",2,6
"ANKRD30A",0,0
"ANKRD30B",0,0
"ANKRD30BL",1,0
"ANKRD31",1,1
"ANKRD33",0,0
"ANKRD33B",0,0
"ANKRD34A",0,0
"ANKRD34B",0,0
"ANKRD34C",0,0
"ANKRD35",167,115
"ANKRD36",0,1
"ANKRD36B",0,0
"ANKRD36C",0,4
"ANKRD37",11,25
"ANKRD39",1,4
"ANKRD40",20,16
"ANKRD42",3,1
"ANKRD44",2,5
"ANKRD45",0,0
"ANKRD46",3,6
"ANKRD49",0,7
"ANKRD50",9,16
"ANKRD52",66,61
"ANKRD53",0,0
"ANKRD54",5,9
"ANKRD55",0,0
"ANKRD6",1,5
"ANKRD60",0,0
"ANKRD61",0,0
"ANKRD62",0,0
"ANKRD63",0,0
"ANKRD65",26,21
"ANKRD66",0,0
"ANKRD7",0,0
"ANKRD9",78,51
"ANKS1A",60,49
"ANKS1B",3,0
"ANKS3",5,5
"ANKS4B",0,0
"ANKS6",52,74
"ANKUB1",0,0
"ANKZF1",4,10
"ANLN",5,5
"ANO1",4,8
"ANO10",16,7
"ANO2",0,0
"ANO3",2,0
"ANO4",0,0
"ANO5",0,0
"ANO6",11,11
"ANO7",0,0
"ANO8",16,15
"ANO9",14,5
"ANOS1",0,5
"ANP32A",70,80
"ANP32B",53,88
"ANP32D",0,0
"ANP32E",9,9
"ANPEP",3,2
"ANTXR1",6,15
"ANTXR2",12,2
"ANTXRL",0,0
"ANXA1",3236,3744
"ANXA10",0,0
"ANXA11",266,291
"ANXA13",1,0
"ANXA2",434,585
