"GENE_SYMBOL","GSM4673103--P5","GSM4673104--P5"
"ANXA2R",0,0
"ANXA3",37,27
"ANXA4",38,28
"ANXA5",101,99
"ANXA6",29,29
"ANXA7",49,77
"ANXA8",362,348
"ANXA8L1",361,298
"ANXA9",5,5
"AOAH",0,1
"AOC1",5,0
"AOC2",0,0
"AOC3",9,5
"AOX1",1,0
"AP1AR",12,15
"AP1B1",234,269
"AP1G1",17,30
"AP1G2",91,104
"AP1M1",19,19
"AP1M2",11,16
"AP1S1",722,577
"AP1S2",0,2
"AP1S3",3,14
"AP2A1",255,215
"AP2A2",13,26
"AP2B1",213,199
"AP2M1",147,170
"AP2S1",109,93
"AP3B1",93,95
"AP3B2",3,0
"AP3D1",104,113
"AP3M1",11,24
"AP3M2",27,21
"AP3S1",1387,1133
"AP3S2",3,3
"AP4B1",25,39
"AP4E1",30,37
"AP4M1",10,6
"AP4S1",8,4
"AP5B1",3,11
"AP5M1",23,32
"AP5S1",4,5
"AP5Z1",5,6
"APAF1",19,21
"APBA1",0,0
"APBA2",2,0
"APBA3",2,3
"APBB1",9,4
"APBB1IP",4,25
"APBB2",8,4
"APBB3",3,3
"APC",14,17
"APC2",2,1
"APCDD1",35,33
"APCDD1L",1,0
"APCS",0,0
"APEH",48,47
"APELA",0,0
"APEX1",20,19
"APEX2",127,101
"APH1A",463,460
"APH1B",4,4
"API5",91,105
"APIP",25,31
"APLF",0,0
"APLN",0,1
"APLNR",106,11
"APLP1",0,0
"APLP2",136,148
"APMAP",140,128
"APOA1",0,0
"APOA2",0,0
"APOA4",0,0
"APOA5",0,0
"APOB",0,0
"APOBEC1",0,0
"APOBEC2",0,0
"APOBEC3A",25,29
"APOBEC3B",3,7
"APOBEC3C",11,8
"APOBEC3D",0,0
"APOBEC3F",0,0
"APOBEC3G",0,2
"APOBEC3H",0,5
"APOBEC4",0,0
"APOBR",12,12
"APOC1",1,0
"APOC2",0,0
"APOC3",0,0
"APOC4",0,0
"APOD",0,5
"APOE",23,1
"APOF",0,0
"APOH",0,0
"APOL1",319,449
"APOL2",5,15
"APOL3",7,13
"APOL4",1,2
"APOL5",1,0
"APOL6",42,93
"APOLD1",4,12
"APOM",0,0
"APOO",3,7
