"GENE_SYMBOL","GSM7744827--R002","GSM7744829--R008","GSM7744830--R009","GSM7744832--R010","GSM7744833--R012","GSM7744834--R013","GSM7744836--R014","GSM7744837--R015","GSM7744838--R016","GSM7744839--R017","GSM7744841--R018","GSM7744842--R019","GSM7744843--R020","GSM7744844--R021","GSM7744845--R022"
"CACNG8",5,22,10,1,11,91,29,49,2,1,36,4,13,28,26
"CACTIN",1302,545,1294,2622,1851,1517,2028,1701,2998,2198,1529,2981,1992,466,3154
"CACUL1",7831,8612,7814,9015,5383,7489,7152,7693,11429,6253,6120,18941,8930,3660,9792
"CACYBP",30997,316528,22008,52384,13079,18138,13457,19986,33561,31017,17746,65163,13361,9293,41245
"CAD",5478,2355,3405,1711,1724,1965,3049,5919,8121,2317,4816,8488,2840,918,6442
"CADM1",2203,9944,4194,754,2004,4054,3635,7795,29233,8997,8432,18406,4535,1914,19597
"CADM2",64,1,4,58,776,1,1734,100,43,105,1349,4,0,2,552
"CADM3",1,1,14,7,89,0,436,58,0,2,2,49,39,0,5
"CADM4",609,576,815,949,92,188,770,209,476,579,4184,1854,910,219,4991
"CADPS",9,44,22,0,0,9,328,6,87,3,48,4,43,1,870
"CADPS2",3693,1475,6665,3972,1673,2145,4524,2144,802,4535,1016,387,8918,30,2400
"CAGE1",296,13,38,8,2,187,1,2,3,34,439,17,10,0,3
"CALB1",2,2,2,10,15,19,6,31,4,6,121,42,10,319,11
"CALB2",146,1465,543,246,18113,539,22532,2397,16911,305,1385,8923,861,152,8256
"CALCA",103,0,418,0,0,0,18,33,14196,47,0,24,62,3,0
"CALCB",0,9,108,0,19,31,87,124,1382,140,44,1002,1,10,0
"CALCOCO1",2616,1597,3616,9808,20504,4954,13887,3947,6992,3847,5783,7301,12472,2334,4052
"CALCOCO2",8910,4738,7917,49726,25452,9307,16256,13587,12307,18630,11092,13953,20051,3553,9720
"CALCR",0,17,5,10,55,7,42,1,0,22,1,0,18,0,37
"CALCRL",874,2146,3025,1947,22544,2417,9818,3570,7152,1520,1609,4289,4006,463,7479
"CALD1",18336,32303,52091,11700,40512,46624,63017,42772,47248,26754,58240,95565,31386,3060,57652
"CALHM1",33,4,1,1,1,0,1,0,13,29,1,1,12,1,1
"CALHM2",6834,2290,7108,1934,6627,3964,5416,3429,4049,1300,2089,7003,6839,2579,9319
"CALHM3",0,0,36,0,0,0,0,0,1,0,1,0,12,29,32
"CALM1",18234,52888,66869,73406,68762,93807,79488,61131,58352,55749,81778,82554,90670,28496,139195
"CALM2",245778,123311,126479,124671,108868,75507,99079,134075,188279,87324,157503,245661,112195,28869,613540
"CALM3",6460,14647,19805,14834,19187,19112,17982,16124,17319,16755,45325,26190,21056,13113,25324
"CALML3",42,32,244,0,6,4,0,8,29,170,34,16,1,3786,0
"CALML4",119,171,395,85,304,680,548,454,574,362,149,315,573,377,419
"CALML5",150068,6170,279,52613,23,12814,21700,1359,55,65692,164456,68480,96,32547,218925
"CALML6",0,0,0,0,0,0,0,0,27,0,0,0,4,0,0
"CALN1",1,2,9,3,34,16,4,170,6,129,11,0,0,1,6
"CALR",54056,17845,57459,19904,17024,21749,29704,48616,89147,70941,16417,63528,52696,9053,40988
"CALR3",0,4,6,6,0,1,0,13,23,0,37,9,9,1,8
"CALU",61754,22875,93982,46364,29578,48847,40678,87345,171395,42508,75630,163813,44408,9586,201788
"CALY",1,1,0,29,4,1,3,54,0,0,0,8,49,178,2
"CAMK1",795,890,943,179,6128,6744,3463,753,339,2481,668,643,704,338,865
"CAMK1D",435,1021,3210,255,1885,2080,1854,3134,5404,1914,4111,5641,4337,2665,13445
"CAMK1G",12,39,61,27,5,381,0,115,25,82,26,116,124,0,135
"CAMK2A",24,43,20,6,12,48,20,41,90,15,18,63,18,76,28
"CAMK2B",1374,50,68,11,6,489,45,198,387,959,878,377,195,515,125
"CAMK2D",5999,2807,3054,5796,5595,3215,5388,5937,3583,3836,3296,6192,9470,891,7576
"CAMK2G",623,982,2226,912,928,963,1077,600,2927,1560,1682,2242,7703,1137,2369
"CAMK2N1",716,1672,7276,16428,1194,4835,1269,5561,3068,5344,4633,2129,6061,534,11251
"CAMK2N2",7,9,11,3,2,8,16,35,6,33,21,15,6,0,14
"CAMK4",307,149,87,98,342,62,322,49,123,388,215,61,1365,70,213
"CAMKK1",450,452,370,305,212,816,1463,878,1972,1189,2413,1701,1723,222,1716
"CAMKK2",4512,2869,3837,6294,8115,4345,9961,8196,9119,8627,12761,9736,4692,3588,16284
"CAMKMT",1403,1124,1674,1037,731,235,1038,1148,2574,942,1675,2078,1225,458,6512
"CAMKV",0,67,175,0,0,0,71,1168,277,0,87,1017,1,1,37
"CAMLG",4260,2572,4376,5770,3445,4119,4095,4479,5593,3050,4032,7540,3798,2212,5540
"CAMP",6,187,41,587,149,1080,18,170,25,370,1572,38,1523,41,1044
"CAMSAP1",2536,1328,890,1107,1637,2748,1483,1727,3222,2619,2040,4852,1753,576,4423
"CAMSAP2",3307,1896,2615,2943,2578,3374,3014,2560,6622,2501,4621,6515,2120,695,2666
"CAMSAP3",1846,1528,1343,6125,53,1345,1009,2042,3306,2200,5441,4186,1525,447,8689
"CAMTA1",7887,9422,10301,3646,4118,5740,4970,6841,9837,7952,14951,7667,6135,5773,22569
"CAMTA2",962,978,1168,3618,4168,2998,3752,2568,2989,1691,5996,4944,2874,804,2016
