"ABHD14A-ACY1",0.0644482,0.325311,0.617656,0.49799,0.260938,0.295709,0.309029,0.308747,0.329823,0.261462,0.344117,0.725218,0.18023,0.195072,0.249753,0.393654,0.918163,0.431086,0.611796,0.535648,1.19325,0.997979,0.956557,0.23772
"ABHD14B",20.3721,25.7913,26.5717,84.7128,90.0006,27.528,38.09,29.2535,49.7394,61.1954,41.3144,32.9023,40.2809,52.028,52.3438,26.8058,22.3064,40.5759,48.0698,48.543,23.7018,17.468,33.8646,64.5086
"ABHD15",3.83853,4.80564,3.27783,4.07869,4.23387,7.38541,5.39994,3.152,4.73602,1.78842,6.32693,3.90506,3.5697,6.93983,4.77208,6.36602,3.55735,4.09191,6.08792,10.5872,2.85485,3.01786,6.31659,5.34056
"ABHD16A",1.57962857142857,4.2205,3.0765,4.67761428571429,2.08271428571429,5.00362857142857,8.3753,3.49725714285714,6.66174285714286,3.4998,4.39488571428571,2.43172857142857,4.2726,7.73675714285714,1.676,6.9365,5.5723,7.46834285714286,2.83378571428571,3.8941,4.06155714285714,2.01371428571429,3.53334285714286,4.64255714285714
"ABHD16B",0.923463,1.53566,0.829274,0.861313,1.61079,0.604904,3.61307,2.2367,4.05672,2.06769,1.96125,2.40142,2.9564,2.80924,3.98532,3.51025,1.36962,3.14002,4.01053,5.00254,8.18956,1.8796,9.63615,1.6457
"ABHD17A",32.8809,35.5665,18.3903,26.3596,28.9728,14.4784,28.0531,32.7748,25.9485,65.7736,34.4586,21.4176,36.9104,38.9872,40.643,32.4781,35.9167,26.7433,36.3361,44.2858,33.665,26.7215,25.0008,30.6686
"ABHD17B",12.0481,8.89993,14.8828,9.21088,12.8356,13.3494,7.15425,10.3577,12.8987,17.4252,4.21056,35.05,8.85457,6.52524,7.68025,3.99301,13.7474,7.02659,6.05611,6.96704,12.8176,6.92299,11.9342,7.92402
"ABHD17C",8.62426,30.2183,6.3224,4.94795,5.84058,8.16794,16.6757,8.96968,4.66721,8.9911,10.45,9.71027,3.77135,7.81142,4.15257,20.8459,4.71921,8.0332,3.87231,5.68928,6.88435,6.69953,4.07563,11.7903
"ABHD2",13.5214,23.0059,10.7851,10.5932,10.9332,10.6023,42.4689,20.6669,8.40889,24.1172,16.0835,10.7993,7.97916,21.277,28.1196,86.8052,6.16792,13.4858,9.80404,6.06077,4.57441,14.7409,5.61962,14.2092
"ABHD3",7.3853,24.7126,3.24124,3.89982,8.89908,10.1038,11.5461,10.3694,12.7377,3.55307,8.95935,12.5652,15.3095,9.47223,4.42756,5.90559,8.93951,6.71079,7.23069,12.5178,6.74969,6.94145,8.56927,4.75021
