"GENE_SYMBOL","GSM5430032--HN001","GSM5430035--HN002","GSM5430037--HN003","GSM5430039--HN004","GSM5430041--HN005","GSM5430043--HN007","GSM5430045--HN008","GSM5430047--HN009","GSM5430049--HN010","GSM5430051--HN012","GSM5430053--HN014"
"FAM120AOS",2389,1097,2297,1052,2386,2626,2208,2366,4596,2387,2217
"FAM120B",3769,1733,2288,2334,2024,2700,2639,2688,3137,3384,1516
"FAM120C",968,389,884,464,522,741,267,218,1201,1013,428
"FAM122A",1466,822,1009,982,1054,2114,1058,1178,2297,1512,998
"FAM122B",1026,778,1267,1580,1123,1531,1126,1440,1180,1537,1111
"FAM122C",139,50,141,38,81,87,116,118,149,134,156
"FAM124A",304,201,91,75,70,43,96,100,40,59,9
"FAM124B",213,69,24,52,17,25,18,37,17,20,2
"FAM126A",2347,4423,3396,2595,1473,3468,3719,1577,2404,988,1349
"FAM126B",917,1189,1109,1576,1518,1622,2094,1904,2638,1317,948
"FAM131A",1547,814,1438,1550,1311,1772,1937,1374,3049,1831,1519
"FAM131B",164,29,34,31,42,38,107,57,6,31,9
"FAM131C",109,21,93,220,204,74,108,350,82,199,283
"FAM133A",9,10,11,1,10,5,0,17,0,0,574
"FAM133B",781,906,1300,1106,1287,757,607,839,1688,856,435
"FAM135A",569,853,1306,1856,1945,6082,2473,1697,9947,2071,629
"FAM135B",32,0,0,1,1,0,2,1,0,10,4
"FAM136A",2304,2462,3713,3578,3871,3020,3274,4404,5344,3246,3420
"FAM13A",1798,323,473,447,498,354,906,518,809,1961,515
"FAM13B",1665,964,1316,586,611,702,725,773,1432,2078,331
"FAM13C",959,159,119,75,104,74,193,108,47,703,7
"FAM149A",121,43,17,9,90,47,27,16,29,791,21
"FAM149B1",1252,589,779,786,923,903,947,463,1143,1259,413
"FAM151A",38,19,12,17,36,103,60,49,429,14,9
"FAM151B",96,47,148,19,60,35,90,108,94,21,23
"FAM153A",14,12,7,8,3,8,0,2,13,26,10
"FAM153B",2,8,6,13,19,2,0,2,2,27,8
"FAM155A",95,31,29,2,6,2,18,10,1,38,2
"FAM155B",48,40,212,139,75,13,977,1,15,63,39
"FAM156A",32,6,27,9,4,13,6,8,10,13,7
"FAM156B",13,5,21,5,13,3,8,0,2,4,6
"FAM160A1",428,801,530,1272,805,2378,2988,2181,4952,1718,2075
"FAM160A2",3767,1370,3150,1729,2207,1640,1976,2201,2621,2708,1558
"FAM160B1",1232,700,1150,689,532,898,358,862,784,780,254
"FAM160B2",6029,3220,4018,3785,5545,4161,2892,3711,4856,5561,3896
"FAM161A",236,158,175,26,153,63,212,87,101,297,39
"FAM161B",577,91,339,141,198,150,428,196,353,456,118
"FAM162A",2811,2421,6628,4408,7549,5560,6704,7836,8910,5721,13867
"FAM162B",99,47,32,38,16,33,28,41,9,42,6
"FAM163A",19,0,0,0,0,1,1,0,1,11,4
"FAM163B",0,0,0,0,0,1,0,11,20,0,0
"FAM166A",48,33,98,292,143,141,27,48,117,61,116
"FAM166B",14,4,15,18,19,11,0,1,2,250,8
"FAM167A",433,824,641,1764,410,2636,569,179,601,442,135
"FAM167B",458,961,194,290,99,276,178,359,243,62,160
"FAM168A",4616,2502,2740,1515,1192,2832,3490,2050,4957,3460,4346
