"GENE_SYMBOL","GSM3461245","GSM3461246","GSM3461247","GSM3461248","GSM3461249","GSM3461250","GSM3461251","GSM3461252","GSM3461253","GSM3461254"
"CXCL10",572.3824846,2747.217451,1046.442706,461.9185687,313.9482814,1573.318531,169.5327888,252.4970101,5624.343091,2861.13411
"ZNF768",162.0438439,64.13132011,119.3109817,279.3461344,165.4046734,116.7469261,109.3824829,98.00976041,166.8875181,170.7135964
"LYG1",34.65036073,37.39505187,29.38758771,38.59506942,24.73737063,32.49353035,37.97373305,17.72883925,33.81984597,29.74128127
"RALBP1",214.3094537,229.1225582,122.8873092,285.2530257,176.0691802,380.7482246,290.9419936,152.2946662,129.4770437,178.3836165
"EPB41L4A",48.13121571,59.38372918,63.16502846,58.87430283,65.54096097,46.28727709,59.27248183,45.30426014,70.84507248,76.2144498
"COG1",61.71485773,64.98019227,64.30078672,121.7257666,127.4410821,162.0909729,81.84652039,127.7896519,206.3329703,124.5787502
"SPON1",176.7951469,754.0501171,77.12708195,71.22690636,146.7961858,142.0075616,155.6160617,148.7538711,175.8088055,46.52937764
"EBAG9",164.921043885,283.952388895,264.549021975,329.420537575,207.481557025,266.502640575,222.624163275,236.877315025,202.191957625,235.016687645
"CCDC103",17.72883925,29.74064466,17.72883925,17.72883925,17.72883925,31.27198248,17.72883925,31.81240529,17.72883925,17.72883925
"SIDT2",1055.80066,2202.383592,565.9579555,2800.11446,971.3776859,1095.702116,1541.921064,1001.483323,1056.147962,1633.782987
"NFAM1",17.72883925,23.86497293,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,24.16404437,17.72883925,29.05277325
"PGBD1",29.58226928,38.03966425,43.23276962,35.27720442,53.14514139,102.3950908,51.76602962,102.4858945,80.71338248,40.50828988
"MUC4",26.19492481,34.0564567,17.72883925,30.00262036,17.72883925,17.72883925,17.72883925,29.61638405,26.82277138,17.72883925
"CD22",35.34745533,41.21351218,28.34976772,29.74809433,32.99704087,17.72883925,17.72883925,17.72883925,28.427394,25.47420866
"TRERF1",17.72883925,43.99208972,17.72883925,39.64276216,25.85384893,17.72883925,30.34105665,48.88293367,28.63417399,79.00212191
"RNF114",1406.00345985,1182.14774815,1406.67455325,752.04694715,1076.73553055,1342.49028515,876.84940465,876.27700645,1752.97599,1418.85809935
"C1orf101",17.72883925,28.85078548,17.72883925,35.25019682,17.72883925,17.72883925,43.05789693,17.72883925,24.88453728,28.52355729
"ZCCHC8",118.6359014,106.0340312,138.3326236,60.39204245,72.80750236,78.93356027,102.8153893,103.4654488,168.8103526,53.17796294
"ERCC8",26.10837664,22.136605685,24.958744565,23.081932405,43.22831371,17.72883925,17.72883925,51.62244444,34.20222563,17.72883925
"C10orf76",157.0919665,164.1002343,160.9763919,184.596981,79.03294021,322.4122493,155.7393272,46.91387215,171.1628975,145.2228934
"UQCRH",2764.9026141,2008.18618935,2701.23996915,1434.9752966,3766.04718415,1869.7713398,1782.01220965,4258.2751972,2171.292694365,1876.7206673
"GALE",676.5989184,164.5424727,481.6233636,130.3257509,286.3537542,292.3497177,490.790311,451.7103983,459.0239659,375.6541051
"C8orf44",34.858917,17.72883925,17.72883925,17.72883925,32.2921901,17.72883925,28.71514495,17.72883925,24.16474939,38.60450733
