GENE_SYMBOL,GSM1648121,GSM1648114,GSM1648122,GSM1648115,GSM1648116,GSM1648117,GSM1648123,GSM1648124,GSM1648118,GSM1648119,GSM1648120
WDR31,7.7274,8.202,6.4588,7.4851,7.2288,7.289,7.33855,7.4345,6.8659,7.53525,6.79495
WDR33,8.4852,8.85983333333333,9.1018,8.92955,9.12526666666667,9.06058333333333,9.19678333333333,9.44266666666667,9.27943333333334,9.23066666666667,9.11106666666667
WDR35,7.9287,8.42635,8.2336,8.48015,8.2258,7.75725,7.915,7.87815,8.03055,8.2908,8.1071
WDR36,8.2037,8.1848,8.6282,8.455,8.5813,8.7922,8.2061,8.6371,8.7922,8.8079,8.7887
WDR4,11.4779,10.8077,10.6146,10.7028,10.4136,10.8944,11.3702,11.4094,10.5026,10.684,10.2976
WDR41,9.6428,9.8458,9.8962,9.7273,9.8264,9.758,9.3791,9.776,10.5093,10.0652,10.0297
WDR45,8.51635,7.54965,8.143,7.8193,7.6147,8.32955,8.02295,7.8453,8.3383,8.08155,7.8418
WDR45B,11.7821,10.9075,10.7908,11.1,10.5413,11.2635,10.9161,10.9877,10.2636,10.6368,9.9274
WDR47,6.88545,6.88495,6.2248,6.5291,7.21575,6.37425,7.0201,6.8557,6.70515,6.56075,6.53855
WDR49,6.90695,6.7077,6.6103,6.69925,6.43475,7.7388,6.73175,6.22775,6.5425,6.36385,6.6026
WDR5,8.83455,8.5049,8.35675,7.63665,8.09145,8.70365,8.0649,8.38505,7.59355,7.80545,7.95275
WDR55,10.4687,9.8456,10.4468,10.7007,10.7665,10.7232,10.5871,10.4374,10.9199,10.5237,10.8097
WDR59,10.4112,10.5411,9.8227,10.002,9.8327,9.1658,10.613,10.3395,10.2896,9.8737,10.3937
WDR5B,7.4515,7.6726,8.5102,8.7092,7.5965,8.9802,8.9897,8.5874,8.678,8.2333,9.769
WDR61,7.4706,8.6594,8.826,8.7007,9.207,9.303,7.7313,8.3132,8.7921,9.3406,9.1576
WDR62,7.0503,6.2691,8.2598,6.7089,6.4977,7.7431,6.4348,7.1095,7.2423,6.4284,6.3637
WDR7,8.63813333333333,8.43853333333333,9.09166666666667,8.8821,8.99286666666667,8.47176666666667,8.74296666666667,8.35576666666667,9.30416666666667,8.98306666666667,9.2409
WDR70,9.9205,9.6212,9.9597,9.8568,9.7261,10.3527,9.5082,10.288,9.9255,10.1305,9.3286
WDR74,10.1145666666667,9.9011,9.5026,9.65803333333333,9.4593,9.9713,9.6218,10.0314666666667,9.33103333333333,9.5019,9.2118
WDR75,8.952,8.7577,9.0932,9.3022,8.7825,9.3045,9.3,9.0827,9.8467,9.1082,9.5989
WDR76,8.1269,7.4534,9.4092,8.7948,8.1024,9.5139,8.3413,8.2274,9.1809,7.5566,9.2881
WDR77,7.3718,7.4448,6.8041,6.6624,6.8529,6.6719,7.3515,6.5175,6.8331,6.7327,6.7184
WDR81,11.1829,9.9199,9.365,10.0233,9.9375,10.1526,9.6529,9.1499,8.9073,9.651,9.0679
WDR82,10.8439,11.6389,11.3424,11.0338,11.1772,11.3917,11.5588,11.4524,10.9067,11.0908,11.1554
WDR83,10.2895,10.2291,9.9779,9.6509,10.1411,10.4372,10.4106,10.5456,10.7333,9.995,9.8579
WDR89,6.7752,7.1854,6.9754,7.1643,7.8514,7.3141,7.0522,6.476,7.4851,6.2672,7.4119
WDR91,11.3165,10.1476,8.9484,10.069,10.7224,8.4443,9.9285,8.8544,8.2193,10.3687,8.842
WDR92,9.0191,10.4348,10.4395,10.508,9.7333,9.8841,10.3108,10.0261,10.8468,10.1788,10.0585
WDR93,6.9617,6.5082,6.1784,7.2842,6.9894,6.3507,6.3058,6.2989,6.1997,7.4811,6.356
WDSUB1,8.4537,9.6951,8.788,9.4571,8.5978,9.2605,8.7966,8.8118,9.3518,9.1758,9.0042
WFDC13,7.3219,7.3631,6.2914,7.0889,6.8344,7.2961,6.7063,6.1882,6.6265,6.6307,7.094
WFDC2,7.22215,6.8872,6.82375,6.8362,7.27435,7.65145,6.59845,6.3502,6.2702,6.1512,7.41905
WFDC5,6.84935,6.54655,6.4901,7.4499,9.08915,6.55235,6.7085,6.9283,6.2086,6.4052,6.4219
WFDC6,6.521,6.6173,6.4806,6.2749,6.2306,6.3239,6.4185,6.3132,6.2032,6.1319,6.4783
WFDC9,6.5474,6.485,6.0667,5.9047,6.2518,6.431,6.252,6.2804,6.1768,6.0665,6.3544
WFS1,11.5455,12.748,11.3294,11.2497,10.6852,11.6094,11.1157,11.9198,12.0621,11.4664,10.0461
WIF1,6.5112,6.6743,6.3368,6.4919,6.4998,6.3918,6.3442,6.2902,6.2507,6.2078,6.3541
WIPF1,7.915375,8.0821,9.2881,8.6483,8.9727,8.890825,9.18755,8.323525,9.172025,8.52215,9.291625
WIPF2,6.7388,6.6765,6.4201,6.6391,6.4736,6.8202,6.6553,6.6068,6.4913,6.335,6.7912
WIPF3,7.7267,8.4161,7.653,7.902,7.4972,9.4543,8.5163,7.7235,7.4375,6.6728,8.3144
WIPI2,9.1033,8.7211,8.7008,8.2927,7.766,8.2317,9.0347,8.4589,8.2693,8.0412,6.3347
WIZ,9.7378,9.0796,8.8215,8.0216,9.1088,9.3817,9.562,9.5221,8.2654,9.1729,8.6479
WLS,10.44495,10.0277,9.6701,8.92575,10.83955,9.32925,10.0159,10.14465,9.227,10.0109,9.3103
