"GENE_SYMBOL","GSM6935515--Patient1","GSM6935517--Patient3","GSM6935519--Patient4","GSM6935521--Patient14","GSM6935523--Patient16","GSM6935524--Patient18","GSM6935525--Patient19","GSM6935526--Patient20","GSM6935527--Patient21","GSM6935529--Patient23","GSM6935530--Patient24","GSM6935532--Patient25","GSM6935533--Patient27","GSM6935534--Patient28","GSM6935536--Patient31"
"THAP7",756,831,1010,647,565,751,1104,1048,615,1063,553,670,903,1636,1035
"THAP8",371,117,361,192,124,239,230,397,316,224,1530,163,268,343,115
"THAP9",186,233,252,66,363,550,369,3292,248,634,379,562,345,395,440
"THBD",352,2450,2155,237,4384,828,9466,4345,1320,3760,251,4035,6023,5645,44
"THBS1",73155,25983,9374,5528,16580,78647,25973,4746,34843,65222,8000,5222,518176,13785,941
"THBS2",29641,11309,1627,4475,2146,55014,21049,3161,13352,21030,4648,2152,73473,1321,65
"THBS3",1262,636,512,367,930,5385,1509,1553,1472,2442,1046,1466,5876,894,2175
"THBS4",570,12,326,8,19,1127,36,65,102,33,2710,71,8730,98,9
"THEG",0,0,0,91,1,0,8,3,3,0,1,46,0,3,0
"THEGL",1,4,1,0,0,6,13,3,1,5,2,2,0,0,1
"THEM4",1255,307,1394,186,674,2466,795,1030,819,1614,3667,1459,1417,2054,614
"THEM5",5,0,1,1,0,4,0,290,0,1,0,9,1,4,3
"THEM6",714,1812,1031,269,3546,1449,5386,1693,6202,1874,880,2925,763,3800,469
"THEMIS",2480,935,1208,299,214,787,19,1136,956,88,319,356,1510,5598,125
"THEMIS2",4123,1768,3709,758,689,2709,996,1913,2433,557,1357,1190,2577,6477,391
"THG1L",567,1177,697,109,1369,790,1636,2110,518,1695,581,576,791,1989,362
"THNSL1",311,406,556,49,1136,816,1867,3057,680,1906,3237,828,525,1140,123
"THNSL2",705,551,179,322,46,560,239,1017,329,146,2315,70,2381,617,334
"THOC1",2163,953,2168,711,2385,3491,1971,8358,3594,4146,2492,3774,3128,3807,2130
"THOC2",6395,4126,6234,4592,9005,11519,13237,22552,8368,14864,13517,10052,8643,11730,4316
"THOC3",804,569,922,86,860,749,1717,1964,577,1144,896,425,375,1504,199
"THOC5",1812,1564,2998,1047,2428,4415,3531,12056,2763,4566,3522,2647,2980,4907,3394
"THOC6",691,834,974,227,692,1132,1142,3211,892,1730,1276,985,993,1777,338
"THOC7",1200,2429,1649,292,2846,3386,4016,5768,2305,2555,3109,1314,1554,2578,572
"THOP1",1470,809,1637,603,1594,2004,1022,2958,1425,2236,2460,1380,968,3501,817
"THPO",19,3,16,7,119,14,1,20,21,89,22,5,91,14,0
"THRA",1340,855,1672,924,971,2097,1778,3466,1963,4780,4155,1773,3836,3448,149
"THRAP3",13229,13556,18803,4727,17750,23978,25792,50438,17516,31917,29743,14780,17006,27729,6488
"THRB",142,6492,571,997,6258,5953,8452,7672,2707,6693,2764,2767,1770,1092,5204
"THRSP",8,0,17,57,1183,1,10,0,0,51,701,7,1772,0,0
"THSD1",147,288,366,40,228,290,1970,106,117,867,127,433,2194,982,394
"THSD4",883,2112,1298,305,1647,10552,11705,948,3623,2174,937,2683,3199,3396,3820
"THSD7A",386,1178,445,136,450,446,1228,394,2456,524,477,518,4524,543,3954
"THSD7B",15,17,12,15,21,20,5,19,6,9,31,18,312,24,0
"THTPA",475,197,333,101,187,349,406,601,402,404,811,354,639,449,245
"THUMPD1",2782,2838,3883,2307,5403,5960,6019,6704,3999,5385,6137,3515,3980,6542,1956
"THUMPD2",363,417,435,138,1055,1032,950,2519,509,1196,1157,671,1002,1120,354
"THUMPD3",2308,2431,1866,1211,3292,4791,6142,9173,2346,7013,4549,11757,2327,3308,2485
"THY1",4753,4409,4154,1090,884,7712,4242,948,5582,5433,1588,847,37543,9039,62
"THYN1",1032,887,1027,279,1450,967,2185,3394,1869,2629,1736,851,1469,2444,417
"TIA1",3462,1921,3777,1453,5984,5977,4124,21148,5011,7231,4281,4887,7818,7524,1577
"TIAF1",982,144,599,99,335,201,105,497,186,438,353,399,819,705,169
"TIAL1",3684,2692,5292,1150,7111,6755,8113,16382,3909,10526,6970,4065,7358,13361,3221
"TIAM1",2698,4609,5156,1210,9103,10058,17856,40562,4781,18783,6148,3153,2108,11656,4824
"TIAM2",2459,330,786,149,350,790,490,1508,339,542,372,1414,1129,928,971
"TICAM1",1343,935,1271,379,1416,2662,1512,296,1115,1262,1378,697,915,3521,492
"TICAM2",124,73,101,9,35,85,26,45,40,50,102,22,104,107,26
"TICRR",967,915,1271,911,1809,1238,2244,11057,1877,3682,4323,2180,172,2478,1320
"TIE1",490,1344,1665,91,524,841,510,514,779,1645,474,421,6549,3306,16
"TIFA",1379,1072,2022,423,1763,2105,1998,1960,1001,2497,1174,1269,974,3762,584
"TIFAB",552,310,818,54,24,250,4,306,301,13,41,33,135,2902,11
"TIGAR",1107,490,844,633,777,1524,1239,2258,967,1360,1535,724,969,1742,251
"TIGD1",396,208,326,179,318,361,212,857,506,222,512,547,569,716,179
"TIGD2",669,834,940,217,1866,2732,5027,4601,1074,2769,3074,1370,678,1281,1369
"TIGD3",9,18,94,50,19,60,5,361,69,69,18,155,21,93,21
"TIGD4",10,13,5,14,47,27,16,204,51,120,20,58,57,47,47
"TIGD5",475,622,939,90,710,837,966,1807,2077,711,516,807,563,1507,420
"TIGD6",372,429,294,255,575,407,794,1202,588,608,641,295,676,839,156
"TIGD7",350,194,510,237,151,494,200,1518,369,195,1580,653,964,806,41
"TIGIT",4172,1007,4284,458,206,835,16,2063,1874,197,799,580,688,10178,108
"TIMD4",136,44,2892,74,128,32,36,58,58,527,45,36,312,2876,8
"TIMELESS",2803,1932,4454,2208,2591,2478,3384,25227,4539,8516,13914,5153,1442,4633,2316
"TIMM10",307,928,789,504,778,1048,1036,2664,1234,2004,1493,569,550,1731,224
"TIMM10B",1387,930,1771,596,2312,2448,2569,3892,1342,1372,1617,1913,2072,3127,1271
"TIMM13",956,2555,1439,2034,2137,2299,3233,2510,1364,3284,1456,1103,1059,4154,406
"TIMM17A",956,1301,1630,616,3171,3325,3018,3769,2173,3419,4898,1425,1420,4758,880
"TIMM17B",1153,1754,1437,701,1588,2092,1600,1895,1813,1567,4062,1242,797,2964,510
"TIMM21",795,932,753,418,1433,2227,2046,3852,699,2399,2775,1184,1005,2084,731
"TIMM22",817,821,936,460,1259,2018,923,2330,1178,1774,1058,1000,1091,1468,445
"TIMM23",1795,2215,2000,1869,3632,5406,4497,7659,2269,4074,3373,1488,1854,6475,800
"TIMM23B",730,478,678,256,482,561,570,1524,551,818,420,442,1040,1064,471
"TIMM44",1373,997,1362,700,1301,2422,2472,2671,1722,2149,1933,1553,1770,3530,962
"TIMM50",1544,1659,2512,747,2319,2805,2946,6319,2852,5061,3323,1431,1651,3894,738
"TIMM8A",271,376,424,150,723,606,548,2040,358,752,844,488,386,1226,290
"TIMM8B",563,1851,1572,483,2385,1462,2187,2014,1680,1574,1387,823,1200,7132,337
"TIMM9",414,1410,843,287,1098,1819,1303,2868,370,1381,1537,1109,740,1627,771
"TIMMDC1",2113,2949,2527,1278,2928,6127,9378,11189,4014,4135,7471,3478,3436,8739,955
"TIMP1",29700,18427,5421,6419,5521,7695,6572,3489,18354,25716,11028,4662,19704,7016,72
"TIMP2",15010,8355,9679,3605,4130,48005,5260,12505,12944,9906,4212,2361,55843,12554,927
"TIMP3",418,289,571,134,119,2476,331,72,485,299,50,182,1802,332,20
"TIMP4",11,60,35,0,12,182,17,281,182,330,0,59,729,37,74
"TINAG",290,0,0,1,0,4,0,0,0,0,0,0,2,0,1
"TINAGL1",1287,10192,2799,786,18871,13109,104378,10118,13678,46041,1016,4117,11576,2310,16278
"TINF2",2681,2189,3332,772,2124,3465,2696,5772,2605,3408,5200,2123,3961,7167,1503
"TIPARP",1971,1643,1599,471,7152,9966,4515,7808,7385,3344,4287,1857,1558,3668,1017
"TIPIN",246,399,518,218,705,761,1397,2033,474,707,1190,649,348,1060,286
"TIPRL",2032,1721,3400,1425,2740,2584,2560,5626,1535,3851,6415,1688,1801,4409,5316
"TIRAP",624,619,858,178,876,1039,1117,1011,810,1091,533,468,1067,1578,374
"TJAP1",2078,853,1559,388,961,1748,995,3161,2121,2386,2775,1660,2315,2219,2029
"TJP1",9862,13469,8687,4604,17227,15041,37265,59434,21194,29623,32930,9555,22073,16310,6200
"TJP2",3834,8630,5455,3253,15917,15212,17556,64314,9595,22808,15153,9421,4909,8121,4794
"TJP3",5702,796,2020,1178,3406,70,1907,898,1603,2051,3733,1886,67,300,27
"TK1",891,824,2079,963,1580,2282,2529,11978,2309,4452,4405,1449,226,3721,590
"TK2",1639,1347,1730,644,2373,2337,3731,1776,2005,2478,1025,1638,4893,2327,338
"TKFC",855,1520,1257,826,2220,978,2972,4597,2226,3379,1681,2240,1154,1682,423
"TKT",14034,9705,7454,2494,23428,20103,25502,37191,30144,18912,31993,5627,6757,17957,2051
"TKTL1",2,0,27,11,2,3,0,1164,0,0,1,8,43,33,3
"TKTL2",6,4,0,0,2,4,1,254,0,10,0,1,1,5,0
"TLCD1",106,365,384,90,612,867,2106,1012,869,1675,3163,382,94,1176,69
"TLCD2",654,532,310,197,1481,4905,1239,875,1034,1612,700,3894,2866,904,159
"TLDC2",17,10,30,8,11,18,11,71,23,9,22,27,31,72,2
"TLE1",3600,2821,3307,957,2861,4082,686,7766,2089,3428,4921,1491,2847,4034,2298
"TLE2",187,1661,1095,678,1872,4917,1672,1174,4660,3405,442,760,1515,417,1534
"TLE3",8951,5530,9818,3640,4002,12307,11350,23248,8784,14863,9262,5397,8071,17264,3253
"TLE4",2517,1240,3193,275,1839,933,1258,9419,2755,1519,3039,1596,3111,4854,1804
"TLE6",70,23,35,938,204,2163,391,37,417,231,97,34,44,57,751
"TLK1",5536,3779,7452,7338,7438,10510,4565,18891,6898,4466,12330,5804,6996,12966,2202
"TLK2",3028,1723,3220,1411,2765,3600,4053,7993,2648,5973,5862,2372,3144,5008,1557
"TLL1",397,127,543,58,34,130,22,43,195,41,855,379,9103,685,4
"TLL2",35,3,47,44,3,29,67,58,10,24,6,12,100,87,0
"TLN1",41049,27513,42842,12254,20383,55860,19690,67265,41804,41281,204454,15951,65415,60687,8490
"TLN2",983,4210,731,814,1549,1842,1439,6468,2936,3293,531,1383,9215,1968,31
"TLR1",3357,971,2137,294,497,2668,645,1498,609,465,7280,751,1778,4246,352
"TLR10",3638,132,3729,101,24,34,6,1594,237,13,565,304,649,5276,44
"TLR2",2223,1117,660,282,1174,3204,313,1434,1444,703,1492,1109,1388,1928,193
"TLR3",585,902,795,101,4253,819,1242,285,749,218,1145,1010,1503,1057,647
"TLR4",7798,4128,3389,556,2725,6664,1743,2229,1815,1562,1771,1120,5831,8254,355
"TLR5",3246,514,476,208,587,590,496,712,141,399,5032,1630,761,1834,32
"TLR6",1996,470,2874,333,406,2154,638,1598,534,261,1942,1129,1838,3923,202
"TLR7",1644,958,1489,284,159,1220,94,1380,1591,171,1037,423,796,3819,22
"TLR8",2617,931,641,378,383,2587,71,801,1021,163,264,129,480,5084,129
"TLR9",12,2,11,0,4,8,1,6,1,3,2,0,10,9,1
"TLX1",5,0,0,10,17,0,0,1794,0,3,0,10,0,0,0
"TLX2",2,6,24,17,2,0,19,65,21,3,5,4,1,0,2
"TLX3",0,0,22,14,0,0,2,407,0,14,1,0,0,0,1
"TM2D1",1159,801,1183,366,1621,1798,968,2377,1117,1813,1242,1191,1660,1801,1209
"TM2D2",1444,1435,1902,537,2289,2599,3613,4607,1678,2504,3100,1835,2463,3119,655
"TM2D3",1441,1853,1555,618,1267,1537,4420,4215,1036,2717,1782,1127,1804,3079,602
"TM4SF1",871,3903,5128,636,4929,3673,43838,287,714,2089,1393,6870,7614,11125,18
"TM4SF18",209,473,857,151,172,700,1994,118,125,509,325,152,2211,2060,13
"TM4SF19",1,6,2,0,23,299,9,33,2,16,17,81,30,319,9
"TM4SF20",0,0,0,1,0,0,0,25,0,0,0,4,7,0,14
"TM4SF4",0,4,1,0,2227,0,506,1,0,1472,1932,55,124,1,6
"TM4SF5",0,0,2,1,402,0,36,0,0,115,272,0,7,0,5
"TM6SF1",635,295,262,129,119,776,62,312,242,148,204,184,462,803,24
"TM6SF2",11,1,1,0,75,37,7,40,6,21,25,8,75,3,2
"TM7SF2",269,836,1089,211,1705,479,4148,2685,1733,2644,670,407,603,552,140
"TM7SF3",5424,3267,3168,984,5684,6578,11163,10422,3392,10303,12676,3799,2950,5226,608
"TM9SF1",528,534,468,125,379,629,781,925,380,884,840,528,348,531,318
"TM9SF2",7386,14681,11245,3886,20256,25207,44719,37057,11428,24083,26274,19320,8126,19263,6585
"TM9SF3",6739,10855,8696,8627,25803,18194,45431,40139,10680,28629,16553,7472,11960,22243,5203
"TM9SF4",5862,6712,4881,2336,7316,13816,16385,25224,8640,7805,11273,10082,5607,10081,2919
"TMA16",765,910,1034,598,1305,1762,1955,3512,648,1155,1281,702,1081,1743,448
"TMA7",3846,10284,5326,2196,6354,5185,11644,15962,5701,8502,4183,2484,3376,15291,1307
"TMBIM1",7848,5346,5160,996,32821,20444,44882,7493,15950,18154,13453,6186,12100,13744,2760
"TMBIM4",1337,1201,1471,349,1631,1413,1021,1624,954,1439,1961,844,1838,2791,886
"TMBIM6",28603,42023,36037,31207,94531,71198,109577,109115,131056,101802,80741,42114,28342,67988,13816
"TMC1",14,12,113,16,114,14,66,13,172,21,11,20,64,27,32
"TMC2",0,0,0,13,0,0,0,34,1,0,20,3,24,0,0
"TMC3",0,0,2,3,3,1,0,8,0,0,0,5,3,1,8
"TMC4",1004,3428,622,692,4863,4398,12326,3848,6542,10332,2432,1145,145,989,750
"TMC5",278,183,2158,231,1914,6276,261,717,163,503,1213,3408,242,37,269
"TMC6",8921,3570,8225,1223,3061,6539,16425,8417,4917,4824,4461,3720,3939,10506,1317
"TMC7",69,363,124,34,1737,343,325,881,692,3157,308,1251,429,121,429
"TMC8",7667,1442,7697,764,441,1504,731,3212,2331,319,3302,958,3655,12273,533
"TMCC1",2422,3813,2431,922,4487,6746,7904,16133,3336,7600,5936,4164,3842,5339,1824
"TMCC2",110,109,428,16,17,71,196,997,86,291,810,466,217,329,82
"TMCC3",3047,379,1363,509,1279,620,1007,1543,1267,413,997,1377,2443,3615,239
"TMCO1",4287,4444,7712,3570,6695,19322,11069,9816,7501,8953,9945,3610,3607,10224,8252
"TMCO2",1,0,1,1,1,0,2,5,0,1,0,1,4,2,1
"TMCO3",2857,3309,2655,1340,1835,7680,6103,4402,2852,3651,6991,3850,4269,3811,3371
"TMCO4",1323,1539,2242,1414,1536,3463,1790,2696,4293,2266,1950,1425,1563,2634,802
"TMCO5A",0,0,0,1,0,0,0,0,0,1,0,4,0,0,0
"TMCO6",525,402,603,82,668,606,406,976,344,696,310,448,615,1064,695
"TMED1",493,1063,580,203,612,1671,1499,1019,634,1359,953,575,651,1742,383
"TMED10",13632,25041,14362,4914,25379,40291,46941,41360,14738,32265,45236,19534,14227,36616,7963
"TMED2",9338,11430,13579,8736,26795,26046,66638,54828,26374,29100,25210,10566,11957,25420,8912
"TMED3",3015,9073,2815,2229,6096,7167,36138,18627,9910,6844,11402,3422,2879,9838,1823
"TMED4",3574,11822,5401,1552,5797,12840,12828,17261,11559,7312,9636,4787,4304,7424,2662
"TMED5",2870,2666,4178,2028,7882,10742,4083,7151,7594,5489,3862,3720,3971,8293,4491
"TMED6",24,6,28,7,19,10,10,11,12,34,10,12,37,43,11
"TMED7",1238,2139,1338,774,5952,14158,6468,3591,2547,4550,6340,1319,1883,5632,2456
"TMED7-TICAM2",23,9,18,13,17,56,33,29,7,19,19,21,27,37,19
"TMED8",3358,1978,7675,1107,3286,6154,2571,9131,2649,6448,9784,5280,3406,6996,2124
"TMED9",5312,6490,4162,2133,6449,8499,31710,11013,10517,8304,6762,3023,4919,13842,2664
"TMEFF1",5,8,25,11,0,4,1,456,5,10,20,0,2,4,0
"TMEFF2",1,0,0,6,1,0,0,3,0,0,0,1,0,0,0
"TMEM100",13,21,79,1,58,8,278,20,16,78,79,37,440,84,0
"TMEM101",871,2138,1067,338,1153,2286,2146,1689,1533,1948,2476,792,973,2997,470
"TMEM102",531,423,798,145,1080,1077,976,2063,1100,1003,630,350,320,1192,261
"TMEM104",1842,1139,1548,741,1018,2199,3481,3564,2399,2644,2577,967,1400,3015,361
"TMEM105",2,40,1,55,48,147,91,427,1,67,0,70,0,2,128
"TMEM106A",1958,835,1725,303,517,1278,195,2023,1131,495,509,603,2871,2557,76
"TMEM106B",2244,4718,2783,2019,6182,14204,11739,9832,4279,6692,6516,3914,4477,7483,1102
"TMEM106C",1263,1127,3574,3066,2161,2481,3491,5886,2197,5781,6994,4566,1160,3071,4311
"TMEM107",488,332,559,599,657,1431,531,2816,715,1561,722,752,484,814,693
"TMEM108",370,54,86,14,18,44,17,2761,29,19,190,68,516,153,6
"TMEM109",4292,4666,4924,2013,4291,7976,10204,14072,6867,6354,4138,5269,5732,8097,1321
"TMEM11",980,958,1042,629,1319,2124,855,4379,1114,1519,1481,1208,940,1587,421
"TMEM114",0,0,0,6,0,0,0,0,0,0,1,0,0,1,0
"TMEM115",1752,2407,1660,363,2099,2659,4845,4831,3794,2414,3038,966,2292,2719,615
"TMEM116",648,613,575,212,474,504,285,1790,469,756,303,932,633,1118,853
"TMEM117",264,557,636,128,865,977,4433,8817,703,1088,1430,694,746,816,492
"TMEM119",4079,518,3138,502,28,2774,385,403,3446,22,484,345,6638,3406,6
"TMEM120A",629,2010,821,329,1437,1705,1803,2604,2287,1043,1486,394,1182,1885,357
"TMEM120B",895,667,748,318,999,1259,2036,4036,1819,2063,1545,1169,1812,2026,1056
"TMEM121",35,32,56,38,7,32,21,320,56,41,4,4,130,102,0
"TMEM123",10508,14302,18952,3578,34326,22421,53553,28226,26387,30632,29354,12878,9031,39992,2876
"TMEM125",273,58,453,220,481,301,827,1371,1179,503,592,595,12,293,44
"TMEM126A",280,420,462,158,831,571,808,901,518,985,717,479,464,1478,214
"TMEM126B",688,630,1122,102,1280,1540,1190,1769,929,1283,1123,1688,1171,2407,764
"TMEM127",7029,6628,6566,2576,6480,10803,13385,8495,9665,6686,10229,2947,7879,12498,1293
"TMEM128",444,823,507,138,798,934,1465,1857,522,821,696,668,644,1142,350
"TMEM129",1265,1811,1511,275,1705,1594,3652,2834,1330,2409,2069,1226,1733,3835,445
"TMEM130",753,114,574,100,0,239,17,15,563,12,3,36,303,150,0
"TMEM131",6165,4761,8786,2720,6222,10018,9986,14216,5563,6716,9872,4061,8100,13251,1580
"TMEM132A",1506,694,1307,3227,1023,3762,8560,11340,2121,4824,13762,2901,1075,1920,364
"TMEM132B",74,0,74,72,18,22,6,104,9,3,23,20,107,236,0
"TMEM132C",2,4,157,11,4,0,1,13,41,0,0,0,1204,363,0
"TMEM132D",3,0,0,13,4,0,0,0,0,1,5,75,0,0,4
"TMEM132E",23,27,27,59,20,14,24,41,10,37,9,16,389,20,0
"TMEM134",691,1540,1213,445,2281,2340,2371,1564,1496,3315,716,1136,877,2509,410
"TMEM135",839,1679,1223,766,2806,1781,1906,2529,2108,2841,1520,2117,2405,2141,549
"TMEM138",1507,1179,1668,451,1459,1466,2523,2392,1640,1870,1234,1996,2199,3377,849
"TMEM139",112,8,58,9,73,3603,5699,1369,0,42,215,347,53,75,317
"TMEM140",1489,1078,1537,263,1582,2707,597,1601,1174,1140,1667,584,2860,3265,777
"TMEM141",501,2095,817,394,1700,2792,2867,1767,1917,1345,1054,965,622,2139,879
"TMEM143",413,351,361,150,327,403,195,966,239,516,313,274,464,507,169
"TMEM144",1149,1031,572,729,1058,1549,1961,2054,769,658,1631,795,1273,880,240
"TMEM145",4,8,17,3,88,12,16,261,10,81,7,15,6,212,0
"TMEM147",1338,2404,2108,850,2641,4922,6738,7018,11599,11569,13486,1368,1587,4666,665
"TMEM14A",601,627,618,606,752,989,1299,909,597,1314,3754,885,449,569,530
"TMEM14B",1503,1216,2485,2231,1667,3018,1641,3042,1644,2280,7271,1332,1192,2508,1210
"TMEM14C",2212,1916,3115,4257,3138,6181,3408,3041,2678,3076,12846,2382,2521,4855,2426
"TMEM150A",513,335,364,199,673,941,1799,929,1064,950,839,366,819,693,92
"TMEM150B",462,212,98,74,35,235,11,100,360,32,39,40,203,242,2
"TMEM150C",346,187,1928,154,373,919,85,1576,682,234,3186,137,1857,1733,19
"TMEM151A",22,1,0,8,4,33,122,5,3,14,7,7,1,12,2
"TMEM151B",13,0,10,10,0,7,32,181,8,14,2,2,8,7,3
"TMEM154",1256,5990,3717,1188,9883,2566,3339,6323,1260,10973,1119,1443,1161,7391,1684
"TMEM156",431,122,1325,101,86,119,40,577,190,81,99,124,325,1641,35
"TMEM158",1076,50,125,17,61,1011,138,350,494,260,90,99,317,442,0
"TMEM159",746,2601,1036,519,3888,3153,9421,5504,2767,3898,2292,1324,1269,1967,803
"TMEM160",391,456,644,325,212,285,398,1134,519,642,466,243,237,823,53
"TMEM161A",625,408,663,495,609,955,883,1123,745,1150,620,574,544,1250,137
"TMEM161B",1254,866,1107,302,1922,1740,1374,2823,882,1677,1076,1369,1658,2463,1835
"TMEM163",579,1044,468,46,739,405,32,420,2038,564,344,172,307,1095,7
"TMEM164",4096,3041,2702,926,3253,3155,1993,8727,4840,7241,7163,4639,3136,6201,659
"TMEM165",4213,6813,4145,2834,9924,14986,11556,9642,7537,14962,7052,7660,5787,8237,4042
"TMEM167A",2705,3072,2484,1543,5881,5690,11284,14578,3304,8072,5247,1964,5511,6918,2433
"TMEM167B",1752,3013,2146,1001,3030,3350,2645,3603,2930,3702,2124,1890,2629,4697,1498
"TMEM168",1482,9941,1648,656,2941,4140,4843,756,2095,4711,4028,2614,3351,4274,1109
"TMEM169",60,4,91,33,51,121,83,1113,52,56,30,34,136,233,9
"TMEM17",68,91,17,3,82,181,234,284,64,249,137,115,130,249,44
"TMEM170A",1521,1571,2061,424,2938,2464,1997,11676,2575,1862,1964,2202,1807,3751,2092
"TMEM170B",407,242,707,511,715,2063,682,1183,683,727,1849,283,1170,911,513
"TMEM171",294,30,33,10,88,11,22,133,6,43,245,93,8,618,0
"TMEM174",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TMEM175",966,783,1159,291,488,589,712,787,822,664,448,446,1212,1261,539
"TMEM176A",4007,2001,2169,386,5444,2612,463,1478,2161,1719,3551,302,4405,4325,18
"TMEM176B",9408,4429,4438,1583,8557,7450,742,2173,6273,2597,5882,610,7392,11281,51
"TMEM177",264,219,345,243,457,359,572,1132,253,366,583,274,301,636,145
"TMEM178A",31,21,33,20,46,24,35,508,5,121,14,43,116,12,1
"TMEM178B",5756,4743,1751,29,629,8333,4767,15482,3882,3941,28583,308,678,1170,8
"TMEM179",1,4,4,46,0,0,1,318,0,1,0,2,6,0,0
"TMEM179B",1157,1907,1377,526,1674,1827,3304,3159,2321,2751,1686,2016,1312,2297,753
"TMEM18",647,1585,1299,315,1512,1396,1274,2266,895,1337,2493,880,1194,2693,607
"TMEM181",2750,4019,3474,862,9745,8355,9568,4725,2721,4577,3391,5058,5026,4930,2596
"TMEM182",139,394,469,121,365,465,703,997,280,358,314,198,249,340,88
"TMEM183A",1426,1402,1899,787,2616,1906,2635,4718,2165,2124,4016,2035,1851,4808,889
"TMEM184A",19,2191,474,831,2502,4230,12813,2459,4799,6484,1042,1806,56,523,501
"TMEM184B",3172,2889,5647,1635,4432,7680,7672,8472,4565,8854,3632,3070,5307,3872,2601
"TMEM184C",1718,2268,2510,1493,4439,4033,6272,7710,2563,6599,4440,1564,2757,4672,1078
"TMEM185A",687,496,608,342,605,928,648,1729,852,979,988,655,664,1330,621
"TMEM185B",941,1670,1149,695,1309,3153,3016,3061,1185,1419,2116,947,1357,2553,259
"TMEM186",265,330,1457,324,595,880,964,2439,604,976,1120,593,468,1059,527
"TMEM187",290,229,344,163,220,417,224,682,364,399,1122,338,330,804,109
"TMEM19",1527,1423,2108,505,2085,1903,3716,2742,1812,2845,3967,1922,1620,4005,906
"TMEM190",0,0,0,0,0,0,0,1,0,3,0,4,0,0,0
"TMEM191B",6,6,6,1,5,6,2,59,11,12,13,1,0,4,57
"TMEM192",1042,2059,1669,1202,2658,1652,4278,3547,948,2085,2896,922,1719,2417,366
"TMEM196",0,0,0,4,0,0,0,36,0,0,0,0,3,1,0
"TMEM198",65,31,34,30,56,123,72,408,229,40,26,46,104,206,9
"TMEM199",873,826,979,539,1181,1590,2067,4021,1070,1441,2112,824,990,2034,544
"TMEM200A",2366,518,303,243,72,1462,369,215,802,3450,1011,213,1678,863,35
"TMEM200B",99,57,149,63,133,664,77,309,411,214,524,71,916,207,686
"TMEM200C",1040,53,149,21,20,35,70,375,149,157,12,5,120,290,0
"TMEM201",1017,1283,1683,345,1093,806,1596,3599,1933,2243,1418,1804,953,2041,1074
"TMEM202",0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
"TMEM203",806,1177,1296,484,1488,2448,1426,3774,2603,2035,1739,1190,1107,2769,663
"TMEM204",600,568,714,193,144,720,296,251,350,584,245,143,2500,1241,13
"TMEM205",1509,3464,957,900,2249,2676,3684,1724,1285,4826,2140,1446,1138,2654,421
"TMEM207",3,0,0,0,0,15,3,101,0,0,0,0,1,0,1
"TMEM208",703,1192,812,516,1221,1443,3341,3345,2836,1695,1271,778,892,1705,271
"TMEM209",1736,3237,2083,1113,2354,3772,4362,7537,2994,4185,4523,2280,1712,4952,1557
"TMEM210",0,0,2,17,1,1,0,0,2,0,2,0,0,1,1
"TMEM211",0,0,10,6,0,0,0,0,0,0,0,0,0,0,0
"TMEM212",0,1,0,1,0,1,2,0,0,0,0,0,0,1,0
"TMEM213",5,0,6,29,2,3,2,40,5,1,24,9,0,8,0
"TMEM214",5229,3930,4418,1962,5063,8154,12267,10202,13180,6101,12873,2918,6498,6694,1683
"TMEM215",0,0,1,0,0,19,0,0,253,0,2,0,1,24,0
"TMEM216",415,648,645,163,568,284,746,1762,617,1115,383,700,540,946,316
"TMEM217",20,29,35,1,52,530,57,96,58,151,25,73,47,84,17
"TMEM218",618,785,871,150,987,915,922,1851,587,2012,656,712,1129,2014,414
"TMEM219",2320,2971,3005,1165,3443,2901,4161,3066,3976,3533,2805,1528,2910,4461,978
"TMEM220",140,60,147,27,1546,205,62,632,260,238,422,44,564,214,9
"TMEM221",5,4,5,18,29,5,20,60,8,6,0,3,18,4,0
"TMEM222",1019,854,1498,257,1347,1910,1273,2822,2087,1978,796,1065,1341,2586,892
"TMEM223",428,802,924,238,803,817,824,1141,984,1155,768,918,529,1125,316
"TMEM225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM229A",2,0,0,1,2,0,0,5,0,0,1,2,6,1,9
"TMEM229B",1102,1252,1322,286,1439,331,405,888,771,379,529,1205,942,2681,35
"TMEM230",3029,3960,3629,1117,4658,5249,5604,5988,4215,8138,6797,3221,3831,7191,1338
"TMEM231",195,204,154,95,373,1020,965,2101,445,796,679,227,495,391,165
"TMEM232",103,19,44,29,254,52,141,313,4,154,74,88,157,66,24
"TMEM233",23,31,48,11,35,58,28,9,10,73,1602,15,104,79,2
"TMEM234",678,511,643,159,543,821,561,1705,1069,758,409,533,1155,798,687
"TMEM235",0,0,3,17,0,1,0,2,0,0,0,1,0,0,0
"TMEM236",42,26,37,33,15,155,35,28,266,54,13,9,157,136,12
"TMEM237",657,611,464,412,1179,1802,743,2819,969,1417,2390,868,1237,1440,311
"TMEM238",141,149,145,239,132,216,122,82,493,137,144,86,20,119,21
"TMEM239",0,0,0,0,2,2,1,0,1,0,3,1,5,2,0
"TMEM240",64,38,42,12,18,15,13,69,11,22,13,27,127,21,33
