"GENE_SYMBOL","GSM4128049","GSM4128050","GSM4128051","GSM4128052","GSM4128053","GSM4128054"
"ANK1",60,11,15,0,2,8
"ANK2",132,9,47,0,42,0
"ANK3",186,50,83,218,99,3
"ANKAR",39,0,18,5,16,0
"ANKDD1A",11,0,1,0,2,0
"ANKDD1B",0,32,13,0,0,0
"ANKEF1",12,215,45,300,147,0
"ANKFN1",0,0,0,0,3,0
"ANKFY1",444,562,783,436,1319,3
"ANKH",307,80,397,62,168,4
"ANKHD1",125,97,146,18,117,0
"ANKHD1-EIF4EBP3",19,0,0,0,4,0
"ANKIB1",140,81,207,494,258,0
"ANKK1",5,0,0,0,1,0
"ANKLE1",0,0,22,28,6,1
"ANKLE2",598,671,955,757,1117,0
"ANKMY1",51,293,113,189,177,1027
"ANKMY2",200,164,327,152,540,0
"ANKRA2",244,16,93,147,19,0
"ANKRD1",0,1,0,0,10,0
"ANKRD10",1567,284,832,578,2438,10
"ANKRD11",908,120,456,370,541,1
"ANKRD12",1554,139,429,681,187,4
"ANKRD13A",323,1648,446,111,766,1460
"ANKRD13B",53,24,123,30,107,0
"ANKRD13C",39,39,29,70,74,0
"ANKRD13D",339,53,379,17,380,1886
"ANKRD16",17,70,12,0,64,0
"ANKRD17",748,1359,907,766,1811,159
"ANKRD18A",15,0,0,31,0,0
"ANKRD18B",0,0,0,0,0,0
"ANKRD2",0,0,12,0,32,0
"ANKRD20A1",0,0,0,0,0,0
"ANKRD22",16,43,19,37,54,0
"ANKRD23",63,23,157,74,119,0
"ANKRD24",1,22,5,20,0,0
"ANKRD26",163,90,192,154,101,0
"ANKRD27",177,121,166,237,333,0
"ANKRD28",306,144,236,277,451,2
"ANKRD29",126,27,12,40,37,0
"ANKRD30A",78,1,0,366,152,0
"ANKRD30B",7,1,0,340,0,0
"ANKRD30BL",0,0,0,0,0,0
"ANKRD31",2,0,0,39,0,0
"ANKRD33",0,0,0,0,0,0
"ANKRD33B",33,2,14,11,13,0
"ANKRD34A",6,9,1,67,7,0
"ANKRD34B",0,0,13,2,0,0
"ANKRD34C",0,0,0,0,2,0
"ANKRD35",145,0,83,0,115,0
"ANKRD36",39,0,1,0,8,0
"ANKRD36B",39,0,49,0,6,0
